district,commodity,Arrival Date,variety,Min_price
Mysore,Ragi (Finger Millet),02-01-14,Fine,1600
Mysore,Ragi (Finger Millet),03-01-14,Fine,2000
Mysore,Ragi (Finger Millet),04-01-14,Fine,1800
Mysore,Ragi (Finger Millet),07-01-14,Fine,2000
Mysore,Ragi (Finger Millet),08-01-14,Fine,2100
Mysore,Ragi (Finger Millet),09-01-14,Fine,2000
Mysore,Ragi (Finger Millet),13-01-14,Fine,1850
Mysore,Ragi (Finger Millet),16-01-14,Fine,1850
Mysore,Ragi (Finger Millet),17-01-14,Fine,1700
Mysore,Ragi (Finger Millet),18-01-14,Fine,1700
Mysore,Ragi (Finger Millet),20-01-14,Fine,1700
Mysore,Ragi (Finger Millet),21-01-14,Fine,1600
Mysore,Ragi (Finger Millet),22-01-14,Fine,1800
Mysore,Ragi (Finger Millet),23-01-14,Fine,1800
Mysore,Ragi (Finger Millet),24-01-14,Fine,1800
Mysore,Ragi (Finger Millet),25-01-14,Fine,1800
Mysore,Ragi (Finger Millet),27-01-14,Fine,1800
Mysore,Ragi (Finger Millet),28-01-14,Fine,1700
Mysore,Ragi (Finger Millet),29-01-14,Fine,1700
Mysore,Ragi (Finger Millet),30-01-14,Fine,1600
Mysore,Ragi (Finger Millet),31-01-14,Fine,1600
Mysore,Ragi (Finger Millet),04-02-14,Fine,1800
Mysore,Ragi (Finger Millet),06-02-14,Fine,1500
Mysore,Ragi (Finger Millet),07-02-14,Fine,2000
Mysore,Ragi (Finger Millet),08-02-14,Fine,2100
Mysore,Ragi (Finger Millet),09-02-14,Fine,2000
Mysore,Ragi (Finger Millet),13-02-14,Fine,1600
Mysore,Ragi (Finger Millet),14-02-14,Fine,1600
Mysore,Ragi (Finger Millet),15-02-14,Fine,1600
Mysore,Ragi (Finger Millet),17-02-14,Fine,1500
Mysore,Ragi (Finger Millet),18-02-14,Fine,1500
Mysore,Ragi (Finger Millet),19-02-14,Fine,1500
Mysore,Ragi (Finger Millet),20-02-14,Fine,1600
Mysore,Ragi (Finger Millet),21-02-14,Fine,1600
Mysore,Ragi (Finger Millet),22-02-14,Fine,1600
Mysore,Ragi (Finger Millet),24-02-14,Fine,1500
Mysore,Ragi (Finger Millet),25-02-14,Fine,1500
Mysore,Ragi (Finger Millet),26-02-14,Fine,1600
